,U3_HNV10CT104,U3_HNV10CT111,U3_HNV10CT102,U3_HNV10CT103
2017-01-03|15:27:58.000,33.87358,27.12835,29.54598,38.66329
2017-01-03|15:28:08.000,33.85838,27.13166,29.54982,38.63653
2017-01-03|15:28:18.000,33.84581,27.13497,29.53623,38.64648
2017-01-03|15:28:28.000,33.86303,27.13828,29.54506,38.65984
2017-01-03|15:28:38.000,33.86506,27.14159,29.55507,38.70301
2017-01-03|15:28:48.000,33.85616,27.14491,29.55046,38.74893
2017-01-03|15:28:58.000,33.84725,27.14822,29.54585,38.80212
2017-01-03|15:29:08.000,33.86797,27.15153,29.54123,38.90122
2017-01-03|15:29:18.000,33.8599,27.15484,29.53662,39.07521
2017-01-03|15:29:28.000,33.85182,27.15815,29.53201,39.18794
2017-01-03|15:29:38.000,33.84375,27.16146,29.54813,39.21968
2017-01-03|15:29:48.000,33.83567,27.16477,29.53683,39.2053
2017-01-03|15:29:58.000,33.82759,27.16808,29.55695,39.20763
2017-01-03|15:30:08.000,33.81952,27.17139,29.55795,39.22201
2017-01-03|15:30:18.000,33.79325,27.1747,29.55896,39.242
2017-01-03|15:30:28.000,33.80145,27.17801,29.55996,39.26537
2017-01-03|15:30:38.000,33.81036,27.18132,29.56097,39.29002
2017-01-03|15:30:48.000,33.82378,27.18464,29.56197,39.29784
2017-01-03|15:30:58.000,33.86639,27.18794,29.56298,39.28749
2017-01-03|15:31:08.000,33.895,27.19126,29.56398,39.27715
2017-01-03|15:31:18.000,33.8814,27.19456,29.56499,39.26485
2017-01-03|15:31:28.000,33.8678,27.19788,29.56599,39.25252
2017-01-03|15:31:38.000,33.85419,27.20119,29.567,39.25005
2017-01-03|15:31:48.000,33.84959,27.2045,29.568,39.26516
2017-01-03|15:31:58.000,33.86804,27.20781,29.56901,39.27969
2017-01-03|15:32:08.000,33.8615,27.21112,29.57001,39.29491
2017-01-03|15:32:18.000,33.85156,27.21443,29.57102,39.31664
2017-01-03|15:32:28.000,33.84719,27.21774,29.57202,39.30993
2017-01-03|15:32:38.000,33.85713,27.22105,29.57302,39.19015
